Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;Dato;Fra tidspunkt;Til tidspunkt;Felt;Trafikkmengde;Dekningsgrad (%);Antall timer total;Antall timer inkludert;Antall timer ugyldig;Ikke gyldig lengde;Lengdekvalitetsgrad (%);< 5,6m;>= 5,6m;5,6m - 7,6m;7,6m - 12,5m;12,5m - 16,0m;>= 16,0m;16,0m - 24,0m;>= 24,0m
70429B619257;Frognerstranda sykkel 03;EV18 S55D105 m3721;2024-03-01T12:00+01:00;2024-03-01T13:00+01:00;2024-03-01;12:00;13:00;Totalt i retning Bygdøy;7;100,0;1;1;0;7;0,00;-;-;-;-;-;-;-;-
70429B619257;Frognerstranda sykkel 03;EV18 S55D105 m3721;2024-03-01T12:00+01:00;2024-03-01T13:00+01:00;2024-03-01;12:00;13:00;Totalt i retning Vika;6;100,0;1;1;0;6;0,00;-;-;-;-;-;-;-;-
70429B619257;Frognerstranda sykkel 03;EV18 S55D105 m3721;2024-03-01T12:00+01:00;2024-03-01T13:00+01:00;2024-03-01;12:00;13:00;Totalt;13;100,0;1;1;0;13;0,00;-;-;-;-;-;-;-;-
70429B619257;Frognerstranda sykkel 03;EV18 S55D105 m3721;2024-03-01T13:00+01:00;2024-03-01T14:00+01:00;2024-03-01;13:00;14:00;1;8;100,0;1;1;0;8;0,00;-;-;-;-;-;-;-;-
70429B619257;Frognerstranda sykkel 03;EV18 S55D105 m3721;2024-03-01T13:00+01:00;2024-03-01T14:00+01:00;2024-03-01;13:00;14:00;2;13;100,0;1;1;0;13;0,00;-;-;-;-;-;-;-;-
70429B619257;Frognerstranda sykkel 03;EV18 S55D105 m3721;2024-03-01T13:00+01:00;2024-03-01T14:00+01:00;2024-03-01;13:00;14:00;Totalt i retning Bygdøy;8;100,0;1;1;0;8;0,00;-;-;-;-;-;-;-;-
70429B619257;Frognerstranda sykkel 03;EV18 S55D105 m3721;2024-03-01T13:00+01:00;2024-03-01T14:00+01:00;2024-03-01;13:00;14:00;Totalt i retning Vika;13;100,0;1;1;0;13;0,00;-;-;-;-;-;-;-;-
70429B619257;Frognerstranda sykkel 03;EV18 S55D105 m3721;2024-03-01T13:00+01:00;2024-03-01T14:00+01:00;2024-03-01;13:00;14:00;Totalt;21;100,0;1;1;0;21;0,00;-;-;-;-;-;-;-;-
70429B619257;Frognerstranda sykkel 03;EV18 S55D105 m3721;2024-03-01T14:00+01:00;2024-03-01T15:00+01:00;2024-03-01;14:00;15:00;1;11;100,0;1;1;0;11;0,00;-;-;-;-;-;-;-;-
70429B619257;Frognerstranda sykkel 03;EV18 S55D105 m3721;2024-03-01T14:00+01:00;2024-03-01T15:00+01:00;2024-03-01;14:00;15:00;2;10;100,0;1;1;0;10;0,00;-;-;-;-;-;-;-;-
70429B619257;Frognerstranda sykkel 03;EV18 S55D105 m3721;2024-03-01T14:00+01:00;2024-03-01T15:00+01:00;2024-03-01;14:00;15:00;Totalt i retning Bygdøy;11;100,0;1;1;0;11;0,00;-;-;-;-;-;-;-;-
70429B619257;Frognerstranda sykkel 03;EV18 S55D105 m3721;2024-03-01T14:00+01:00;2024-03-01T15:00+01:00;2024-03-01;14:00;15:00;Totalt i retning Vika;10;100,0;1;1;0;10;0,00;-;-;-;-;-;-;-;-
70429B619257;Frognerstranda sykkel 03;EV18 S55D105 m3721;2024-03-01T14:00+01:00;2024-03-01T15:00+01:00;2024-03-01;14:00;15:00;Totalt;21;100,0;1;1;0;21;0,00;-;-;-;-;-;-;-;-
70429B619257;Frognerstranda sykkel 03;EV18 S55D105 m3721;2024-03-01T15:00+01:00;2024-03-01T16:00+01:00;2024-03-01;15:00;16:00;1;23;100,0;1;1;0;23;0,00;-;-;-;-;-;-;-;-
70429B619257;Frognerstranda sykkel 03;EV18 S55D105 m3721;2024-03-01T15:00+01:00;2024-03-01T16:00+01:00;2024-03-01;15:00;16:00;2;57;100,0;1;1;0;57;0,00;-;-;-;-;-;-;-;-
70429B619257;Frognerstranda sykkel 03;EV18 S55D105 m3721;2024-03-01T15:00+01:00;2024-03-01T16:00+01:00;2024-03-01;15:00;16:00;Totalt i retning Bygdøy;23;100,0;1;1;0;23;0,00;-;-;-;-;-;-;-;-
70429B619257;Frognerstranda sykkel 03;EV18 S55D105 m3721;2024-03-01T15:00+01:00;2024-03-01T16:00+01:00;2024-03-01;15:00;16:00;Totalt i retning Vika;57;100,0;1;1;0;57;0,00;-;-;-;-;-;-;-;-
70429B619257;Frognerstranda sykkel 03;EV18 S55D105 m3721;2024-03-01T15:00+01:00;2024-03-01T16:00+01:00;2024-03-01;15:00;16:00;Totalt;80;100,0;1;1;0;80;0,00;-;-;-;-;-;-;-;-
70429B619257;Frognerstranda sykkel 03;EV18 S55D105 m3721;2024-03-01T16:00+01:00;2024-03-01T17:00+01:00;2024-03-01;16:00;17:00;1;54;100,0;1;1;0;54;0,00;-;-;-;-;-;-;-;-
70429B619257;Frognerstranda sykkel 03;EV18 S55D105 m3721;2024-03-01T16:00+01:00;2024-03-01T17:00+01:00;2024-03-01;16:00;17:00;2;94;100,0;1;1;0;94;0,00;-;-;-;-;-;-;-;-
70429B619257;Frognerstranda sykkel 03;EV18 S55D105 m3721;2024-03-01T16:00+01:00;2024-03-01T17:00+01:00;2024-03-01;16:00;17:00;Totalt i retning Bygdøy;54;100,0;1;1;0;54;0,00;-;-;-;-;-;-;-;-
70429B619257;Frognerstranda sykkel 03;EV18 S55D105 m3721;2024-03-01T16:00+01:00;2024-03-01T17:00+01:00;2024-03-01;16:00;17:00;Totalt i retning Vika;94;100,0;1;1;0;94;0,00;-;-;-;-;-;-;-;-
70429B619257;Frognerstranda sykkel 03;EV18 S55D105 m3721;2024-03-01T16:00+01:00;2024-03-01T17:00+01:00;2024-03-01;16:00;17:00;Totalt;148;100,0;1;1;0;148;0,00;-;-;-;-;-;-;-;-
70429B619257;Frognerstranda sykkel 03;EV18 S55D105 m3721;2024-03-01T17:00+01:00;2024-03-01T18:00+01:00;2024-03-01;17:00;18:00;1;25;100,0;1;1;0;25;0,00;-;-;-;-;-;-;-;-
70429B619257;Frognerstranda sykkel 03;EV18 S55D105 m3721;2024-03-01T17:00+01:00;2024-03-01T18:00+01:00;2024-03-01;17:00;18:00;2;55;100,0;1;1;0;55;0,00;-;-;-;-;-;-;-;-
70429B619257;Frognerstranda sykkel 03;EV18 S55D105 m3721;2024-03-01T17:00+01:00;2024-03-01T18:00+01:00;2024-03-01;17:00;18:00;Totalt i retning Bygdøy;25;100,0;1;1;0;25;0,00;-;-;-;-;-;-;-;-
70429B619257;Frognerstranda sykkel 03;EV18 S55D105 m3721;2024-03-01T17:00+01:00;2024-03-01T18:00+01:00;2024-03-01;17:00;18:00;Totalt i retning Vika;55;100,0;1;1;0;55;0,00;-;-;-;-;-;-;-;-
70429B619257;Frognerstranda sykkel 03;EV18 S55D105 m3721;2024-03-01T17:00+01:00;2024-03-01T18:00+01:00;2024-03-01;17:00;18:00;Totalt;80;100,0;1;1;0;80;0,00;-;-;-;-;-;-;-;-
70429B619257;Frognerstranda sykkel 03;EV18 S55D105 m3721;2024-03-01T18:00+01:00;2024-03-01T19:00+01:00;2024-03-01;18:00;19:00;1;11;100,0;1;1;0;11;0,00;-;-;-;-;-;-;-;-
70429B619257;Frognerstranda sykkel 03;EV18 S55D105 m3721;2024-03-01T18:00+01:00;2024-03-01T19:00+01:00;2024-03-01;18:00;19:00;2;15;100,0;1;1;0;15;0,00;-;-;-;-;-;-;-;-
70429B619257;Frognerstranda sykkel 03;EV18 S55D105 m3721;2024-03-01T18:00+01:00;2024-03-01T19:00+01:00;2024-03-01;18:00;19:00;Totalt i retning Bygdøy;11;100,0;1;1;0;11;0,00;-;-;-;-;-;-;-;-
70429B619257;Frognerstranda sykkel 03;EV18 S55D105 m3721;2024-03-01T18:00+01:00;2024-03-01T19:00+01:00;2024-03-01;18:00;19:00;Totalt i retning Vika;15;100,0;1;1;0;15;0,00;-;-;-;-;-;-;-;-
70429B619257;Frognerstranda sykkel 03;EV18 S55D105 m3721;2024-03-01T18:00+01:00;2024-03-01T19:00+01:00;2024-03-01;18:00;19:00;Totalt;26;100,0;1;1;0;26;0,00;-;-;-;-;-;-;-;-
70429B619257;Frognerstranda sykkel 03;EV18 S55D105 m3721;2024-03-01T19:00+01:00;2024-03-01T20:00+01:00;2024-03-01;19:00;20:00;1;10;100,0;1;1;0;10;0,00;-;-;-;-;-;-;-;-
70429B619257;Frognerstranda sykkel 03;EV18 S55D105 m3721;2024-03-01T19:00+01:00;2024-03-01T20:00+01:00;2024-03-01;19:00;20:00;2;3;100,0;1;1;0;3;0,00;-;-;-;-;-;-;-;-
70429B619257;Frognerstranda sykkel 03;EV18 S55D105 m3721;2024-03-01T19:00+01:00;2024-03-01T20:00+01:00;2024-03-01;19:00;20:00;Totalt i retning Bygdøy;10;100,0;1;1;0;10;0,00;-;-;-;-;-;-;-;-
70429B619257;Frognerstranda sykkel 03;EV18 S55D105 m3721;2024-03-01T19:00+01:00;2024-03-01T20:00+01:00;2024-03-01;19:00;20:00;Totalt i retning Vika;3;100,0;1;1;0;3;0,00;-;-;-;-;-;-;-;-
70429B619257;Frognerstranda sykkel 03;EV18 S55D105 m3721;2024-03-01T19:00+01:00;2024-03-01T20:00+01:00;2024-03-01;19:00;20:00;Totalt;13;100,0;1;1;0;13;0,00;-;-;-;-;-;-;-;-
70429B619257;Frognerstranda sykkel 03;EV18 S55D105 m3721;2024-03-01T20:00+01:00;2024-03-01T21:00+01:00;2024-03-01;20:00;21:00;1;0;100,0;1;1;0;0;100,00;-;-;-;-;-;-;-;-
70429B619257;Frognerstranda sykkel 03;EV18 S55D105 m3721;2024-03-01T20:00+01:00;2024-03-01T21:00+01:00;2024-03-01;20:00;21:00;2;3;100,0;1;1;0;3;0,00;-;-;-;-;-;-;-;-
70429B619257;Frognerstranda sykkel 03;EV18 S55D105 m3721;2024-03-01T20:00+01:00;2024-03-01T21:00+01:00;2024-03-01;20:00;21:00;Totalt i retning Bygdøy;0;100,0;1;1;0;0;100,00;-;-;-;-;-;-;-;-
70429B619257;Frognerstranda sykkel 03;EV18 S55D105 m3721;2024-03-01T20:00+01:00;2024-03-01T21:00+01:00;2024-03-01;20:00;21:00;Totalt i retning Vika;3;100,0;1;1;0;3;0,00;-;-;-;-;-;-;-;-
70429B619257;Frognerstranda sykkel 03;EV18 S55D105 m3721;2024-03-01T20:00+01:00;2024-03-01T21:00+01:00;2024-03-01;20:00;21:00;Totalt;3;100,0;1;1;0;3;0,00;-;-;-;-;-;-;-;-
70429B619257;Frognerstranda sykkel 03;EV18 S55D105 m3721;2024-03-01T21:00+01:00;2024-03-01T22:00+01:00;2024-03-01;21:00;22:00;1;1;100,0;1;1;0;1;0,00;-;-;-;-;-;-;-;-
70429B619257;Frognerstranda sykkel 03;EV18 S55D105 m3721;2024-03-01T21:00+01:00;2024-03-01T22:00+01:00;2024-03-01;21:00;22:00;2;6;100,0;1;1;0;6;0,00;-;-;-;-;-;-;-;-
70429B619257;Frognerstranda sykkel 03;EV18 S55D105 m3721;2024-03-01T21:00+01:00;2024-03-01T22:00+01:00;2024-03-01;21:00;22:00;Totalt i retning Bygdøy;1;100,0;1;1;0;1;0,00;-;-;-;-;-;-;-;-
70429B619257;Frognerstranda sykkel 03;EV18 S55D105 m3721;2024-03-01T21:00+01:00;2024-03-01T22:00+01:00;2024-03-01;21:00;22:00;Totalt i retning Vika;6;100,0;1;1;0;6;0,00;-;-;-;-;-;-;-;-
70429B619257;Frognerstranda sykkel 03;EV18 S55D105 m3721;2024-03-01T21:00+01:00;2024-03-01T22:00+01:00;2024-03-01;21:00;22:00;Totalt;7;100,0;1;1;0;7;0,00;-;-;-;-;-;-;-;-
